legacy_agora_id,legacy_name,legacy_family,status,score,method,winerim_agora_id,winerim_product_name,winerim_family,duplicates
182,TERMANTHIA,TORO,NO_MATCH,0,,,,,0
180,BASSUS PINOT NOIR,UTIEL REQUENA,NO_MATCH,0,,,,,0
179,MARTINEZ BERMELL,UTIEL REQUENA,NO_MATCH,71,FUZZY,763395,B Martinet Bru,TINTOS WINERIM,0
248,200 CESTOS,VI BLANC,NO_MATCH,0,,,,,0
230,3 MACABEUS,VI BLANC,NO_MATCH,0,,,,,0
253,AA BLANC,VI BLANC,REVIEW,80,FUZZY,765280,B Algars Blanc,BLANCOS WINERIM,0
106,AA chardonnay,VI BLANC,REVIEW,80,FUZZY,765300,B Parvus Chardonnay,BLANCOS WINERIM,0
220,AMFORA BRISAT,VI BLANC,NO_MATCH,67,FUZZY,763657,B Saó Abrivat,TINTOS WINERIM,0
219,AMFORA ROJA,VI BLANC,NO_MATCH,0,,,,,0
231,AUZELLS,VI BLANC,NO_MATCH,0,,,,,0
234,BARBARA FORES ABRISA'T,VI BLANC,MATCH,88,FUZZY,764600,B Bàrbara Forés Rosat,ROSADOS WINERIM,0
235,BARBARA FORES EL QUINTA,VI BLANC,NO_MATCH,71,FUZZY,763387,B Bàrbara Forés Negre,TINTOS WINERIM,0
226,BLANC DE BLANCS,VI BLANC,NO_MATCH,69,FUZZY,765206,B Notes De Blanc,BLANCOS WINERIM,0
243,CARRASVIÑAS,VI BLANC,MATCH,92,CONTAINS,764631,B Carrasviñas Verdejo,BLANCOS WINERIM,0
241,CERVOLES,VI BLANC,MATCH,92,CONTAINS,769701,B Cérvoles Garnatxa de Cérvoles Vinyes Altes de Les Garrigues,TINTOS WINERIM,0
518,Can roda,VI BLANC,MATCH,92,CONTAINS,764625,B SO Can Roda Pansa Blanca,BLANCOS WINERIM,0
246,DAVILA,VI BLANC,NO_MATCH,67,FUZZY,764518,B Dalmau,TINTOS WINERIM,0
239,DO ORIGEN PERE VENTURA,VI BLANC,NO_MATCH,0,,,,,0
232,ENATE BLANC,VI BLANC,NO_MATCH,64,FUZZY,765206,B Notes De Blanc,BLANCOS WINERIM,0
252,FORRARELL,VI BLANC,NO_MATCH,0,,,,,0
519,Fenomenal,VI BLANC,MATCH,92,CONTAINS,765250,B Fenomenal Sauvignon Blanc,BLANCOS WINERIM,0
221,GINESTA,VI BLANC,MATCH,100,EXACT,764608,B Ginesta,BLANCOS WINERIM,0
224,GRAMONA MAS ESCORPI,VI BLANC,MATCH,92,CONTAINS,764611,B Mas Escorpí,BLANCOS WINERIM,0
249,GUITIAN,VI BLANC,NO_MATCH,0,,,,,0
217,HONEY MOON,VI BLANC,MATCH,95,FUZZY,764605,B Honeymoon,BLANCOS WINERIM,0
225,ILOGIC,VI BLANC,NO_MATCH,0,,,,,0
229,IL·LUSIO,VI BLANC,MATCH,100,EXACT,764616,B Il·lusió,BLANCOS WINERIM,0
516,Icones,VI BLANC,NO_MATCH,62,FUZZY,764608,B Ginesta,BLANCOS WINERIM,0
247,LA TRUCHA,VI BLANC,MATCH,92,CONTAINS,765102,B La Trucha Blanco,BLANCOS WINERIM,0
236,MAR I CEL,VI BLANC,NO_MATCH,0,,,,,0
228,MAS D'EN POL,VI BLANC,REVIEW,80,FUZZY,767233,B Coma d'En Pou,TINTOS WINERIM,0
223,MAS ESTELA,VI BLANC,REVIEW,74,FUZZY,782797,B Mas Elena,TINTOS WINERIM,0
233,MOLI DE CAPELLANS,VI BLANC,NO_MATCH,0,,,,,0
218,NOTES DE BLANC,VI BLANC,MATCH,100,EXACT,765206,B Notes De Blanc,BLANCOS WINERIM,0
517,P5 D'origen,VI BLANC,NO_MATCH,0,,,,,0
254,PARVUS BLANC,VI BLANC,REVIEW,75,FUZZY,765280,B Algars Blanc,BLANCOS WINERIM,0
242,PERAFITA BLANC,VI BLANC,MATCH,92,CONTAINS,764497,B Perafita,TINTOS WINERIM,0
244,PETIT ALBET I NOYA,VI BLANC,NO_MATCH,0,,,,,0
250,PLACET VALTOMELLOSO,VI BLANC,NO_MATCH,0,,,,,0
251,QUINTA APOLONIA,VI BLANC,NO_MATCH,0,,,,,0
245,RAMON DO CASAR,VI BLANC,MATCH,92,CONTAINS,764633,B Ramón Do Casar Treixadura,BLANCOS WINERIM,0
222,SATEL·LIT,VI BLANC,MATCH,100,EXACT,764609,B Satèl·lit,BLANCOS WINERIM,0
